::1 - Sun Jun 23 2019 18:12:36 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 200 254 - 337 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:12:36 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 2 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:14:04 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 304 - - 271 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:14:04 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 3 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:14:12 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 1 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:19:22 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 200 382 - 292 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 18:19:22 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 5 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 19:33:23 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 252 - 68 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 19:33:23 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 3 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 19:33:24 GMT+0530 (India Standard Time) - GET /favicon.ico HTTP/1.1 404 - - 252 http://localhost:3000/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 19:33:29 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 200 382 - 46 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 19:33:29 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 1 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:03:03 GMT+0530 (India Standard Time) - GET /harsh/add HTTP/1.1 404 - - 43 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:03:03 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 3 http://localhost:3000/harsh/add Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:03:33 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 304 - - 42 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:03:33 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 1 http://localhost:3000/harsh Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:04:30 GMT+0530 (India Standard Time) - GET /harsh HTTP/1.1 200 382 - 50 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
::1 - Sun Jun 23 2019 20:04:49 GMT+0530 (India Standard Time) - POST /harsh/add HTTP/1.1 200 - - 49 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36
